08,31,09,00,a
09,01,09,21,b
09,22,09,57,c
09,58,10,17,d
10,18,10,37,e
10,38,10,57,f
10,58,11,17,g
11,37,11,56,a
11,57,12,16,b
12,17,12,36,c
12,37,12,56,d
12,57,13,16,e
13,17,13,43,f
13,47,13,57,g
14,17,14,37,a
14,40,14,57,b
14,58,15,17,c
15,18,15,37,d
15,40,15,57,e
15,58,16,17,f
16,19,16,37,g
16,58,17,17,a
17,18,17,37,b
17,38,18,17,c
18,18,18,37,d
18,38,18,57,e
18,58,19,17,f
19,18,19,37,g
19,58,20,17,a
20,18,20,37,b
20,38,20,56,c
20,57,21,16,d
21,17,21,37,e
21,38,21,57,f
21,58,22,17,g
22,37,22,56,a
22,57,23,17,b
23,18,23,36,c
23,38,23,56,d
23,58,24,17,e
24,19,24,36,f
24,37,24,57,g
25,18,25,37,a
25,38,25,56,b
25,58,26,17,c
26,18,26,36,d
26,37,26,57,e
26,59,27,17,f
27,18,27,37,g
27,58,28,17,a
28,18,28,36,b
28,37,28,56,c
28,58,29,17,d
29,18,29,36,e
29,38,29,56,f
29,58,30,17,g
30,37,30,56,a
30,57,31,16,b
31,17,31,36,c
31,37,31,56,d
31,58,32,17,e
32,18,32,36,f
32,37,32,56,g
33,17,33,36,a
33,37,33,56,b
33,59,34,16,c
34,17,34,36,d
34,38,34,56,e
34,57,35,16,f
35,17,35,37,g
