00,01,00,20,a
00,21,00,40,a
00,41,01,00,a
01,01,01,20,b
01,21,01,40,c
01,41,02,00,d
02,01,02,20,e
02,41,03,00,a
03,01,03,20,a
03,21,03,40,a
03,41,04,00,b
04,01,04,20,c
04,21,04,40,d
04,41,05,00,e
05,21,05,40,a
05,41,06,00,a
06,01,06,20,a
06,21,06,40,b
06,41,07,00,c
07,01,07,20,d
07,21,07,40,e
08,01,08,20,a
08,21,08,40,a
08,41,09,00,a
09,01,09,20,b
09,21,09,40,c
09,41,10,00,d
10,01,10,20,e
10,41,11,00,a
11,01,11,20,a
11,21,11,40,a
11,41,12,00,b
12,01,12,20,c
12,21,12,40,d
12,41,13,00,e
13,21,13,40,a
13,41,14,00,a
14,01,14,20,a
14,21,14,40,b
14,41,15,00,c
15,01,15,20,d
15,21,15,40,e
16,01,16,20,a
16,21,16,40,a
16,41,17,00,a
17,01,17,20,b
17,21,17,40,c
17,41,18,00,d
18,01,18,20,e
18,41,19,00,a
19,01,19,20,a
19,21,19,40,a
19,41,20,00,b
20,01,20,20,c
20,21,20,40,d
20,41,21,00,e
21,21,21,40,a
21,41,22,00,a
22,01,22,20,a
22,21,22,40,b
22,41,23,00,c
23,01,23,20,d
23,21,23,40,e
24,01,24,20,a
24,21,24,40,a
24,41,25,00,a
25,01,25,20,b
25,21,25,40,c
25,41,26,00,d
26,01,26,20,e
26,41,27,00,a
27,01,27,20,a
27,21,27,40,a
27,41,28,00,b
28,01,28,20,c
28,21,28,40,d
28,41,29,00,e
29,21,29,40,a
29,41,30,00,a
30,01,30,20,a
30,21,30,40,b
30,41,31,00,c
31,01,31,20,d
31,21,31,40,e
32,01,32,20,a
32,21,32,40,a
32,41,33,00,a
33,01,33,20,b
33,21,33,40,c
33,41,34,00,d
34,01,34,20,e
