00,01,00,20,a
00,21,00,40,b
00,41,01,00,c
01,01,01,20,d
01,21,01,40,e
01,41,02,00,f
02,01,02,20,g
02,41,03,00,a
03,01,03,20,b
03,21,03,40,c
03,41,04,00,d
04,01,04,20,e
04,21,04,40,f
04,41,05,00,g
05,21,05,40,a
05,41,06,00,b
06,01,06,20,c
06,21,06,40,d
06,41,07,00,e
07,01,07,20,f
07,21,07,40,g
08,01,08,20,a
08,21,08,40,b
08,41,09,00,c
09,01,09,20,d
09,21,09,40,e
09,41,10,00,f
10,01,10,20,g
10,41,11,00,a
11,01,11,20,b
11,21,11,40,c
11,41,12,00,d
12,01,12,20,e
12,21,12,40,f
12,41,13,00,g
13,21,13,40,a
13,41,14,00,b
14,01,14,20,c
14,21,14,40,d
14,41,15,00,e
15,01,15,20,f
15,21,15,40,g
16,01,16,20,a
16,21,16,40,b
16,41,17,00,c
17,01,17,20,d
17,21,17,40,e
17,41,18,00,f
18,01,18,20,g
18,41,19,00,a
19,01,19,20,b
19,21,19,40,c
19,41,20,00,d
20,01,20,20,e
20,21,20,40,f
20,41,21,00,g
21,21,21,40,a
21,41,22,00,b
22,01,22,20,c
22,21,22,40,d
22,41,23,00,e
23,01,23,20,f
23,21,23,40,g
24,01,24,20,a
24,21,24,40,b
24,41,25,00,c
25,01,25,20,d
25,21,25,40,e
25,41,26,00,f
26,01,26,20,g
26,41,27,00,a
27,01,27,20,b
27,21,27,40,c
27,41,28,00,d
28,01,28,20,e
28,21,28,40,f
28,41,29,00,g
29,21,29,40,a
29,41,30,00,b
30,01,30,20,c
30,21,30,40,d
30,41,31,00,e
31,01,31,20,f
31,21,31,40,g
32,01,32,20,a
32,21,32,40,b
32,41,33,00,c
33,01,33,20,d
33,21,33,40,e
33,41,34,00,f
34,01,34,20,g
